Nombre,Calorias (kcal),Carbohidratos (g),Lipidos (g),Proteina (g),Sodio (mg)
Huevos c/chorizo,220,15,14,6,1170
Quesadillas,350,37,23,35,689
Huevos revueltos,140,1,18,12,305
Licuado d/platano,192,31,4,8,121
Pozole,240,34,70,13,478
Chilaquiles verdes,443,145,69,88,404
Tacos de suadero,154,14,24,11,90
Tinga,113,41,1,4,218
Spaguetti bolo�esa,360,31,2,12,330
Pizza de peperoni,500,33,14,23,556
Pollo empanizado,400,20,14,14,537
Ensalada de verduras,17,1,3,21,16
Tamales,153,30,8,5,430
Pescado empanizado,213,8,12,3,411
Espaguetti blanco,200,42,1,7,328
Arroz blanco,70,30,0,4,1
Lasa�a ,135,14,6,7,445
Albondigas,200,0,27,16,550
Tacos de pastor,280,1,9,19,78
Molletes,190,30,4,8,15
Huevo c/ frijoles,300,26,11,18,171
Tamales,153,30,8,5,430
Licuado d/fresa,200,31,1,3,121
Hot Cakes,227,88,1,1,242
Sandwich de pollo,285,42,14,41,195
Quesadillas,350,37,35,35,689
Huevo c/jamon,150,15,14,6,476
Spaguetti rojo,595,45,2,12,330
Tacos de bistek,340,28,18,16,660
Arrachera,200,0,14,23,326
Carne asada,170,0,12,10,46
Hot Dogs,295,22,17,11,919
Hamburguesa,295,5,20,15,641
Ensalada de verduras,17,1,3,21,16
Picadillo,297,10,19,22,513
Vaso de leche,100,8,5,7,98
Pan dulce,115,20,11,9,70
Huevo solo,140,1,9,12,70
Quesadillas,350,37,23,35,689
Pan dulce,115,20,11,9,70
Vaso de leche,100,8,5,7,98
Tostadas de jam�n,180,16,6,16,450
Nopales asados,29,5,0,2,20
Vaso de leche,115,8,5,7,98
Sandwich de jam�n,200,16,11,16,400
Pan dulce,115,20,11,9,70
